style_id,style_name,category,price_level,true_state,base_popularity,recommend_bucket,mapped_sim_style_id
xhs-68e8aa600000000003035e44,老钱风香槟色搭裸粉猫眼,猫眼,mid,HotUp,96.446,hot,S0010
xhs-683d7a4200000000230168d1,夏日小短甲蓝色玻璃珠,猫眼,mid,HotUp,109.411,hot,S0125
xhs-69e89cc70000000022000253,莫兰迪色系猫眼跳色,猫眼,mid,HotUp,223.347,hot,S0002
xhs-687cbd4400000000120319eb,白开水美甲简约温柔,温柔感,mid,HotUp,106.233,hot,S0168
xhs-683122f8000000000303f81c,高级感美甲款式推荐,高级感,mid,HotUp,133.867,hot,S0053
xhs-682094020000000022037424,把画布搬到手上抽象油画,手绘,mid,HotUp,248.696,hot,S0127
xhs-6886511f0000000015020ee4,夏日baby蓝猫眼美甲,夏日,mid,HotUp,142.015,hot,S0239
xhs-68e866ec000000000302e4d2,只此青绿猫眼渐变美甲,猫眼,mid,Potential,36.258,potential,S0138
xhs-694215f5000000001e028258,温柔花朵指尖绽放,花朵,mid,HotUp,22.297,potential,S0060
xhs-68ea1aaa000000000401595c,短甲也能精致好看,短甲,mid,Stable,111.528,potential,S0167
xhs-684fe33e0000000012000b47,猫眼与钻饰的闪耀组合,猫眼,mid,HotUp,44.993,hot,S0244
xhs-69c23c1700000000200397f1,清新苹果汽水配色,高级感,mid,HotUp,142.092,hot,S0252
xhs-6688df8c000000000a0246b3,夏日星空猫眼美甲,猫眼,mid,HotUp,52.886,potential,S0009
xhs-69095f35000000000302f457,高级感秋日花朵美甲,花朵,mid,HotUp,113.388,hot,S0189
xhs-68e10bd600000000050305fd,六款精选美甲任你选,精选,mid,Stable,41.395,potential,S0100
xhs-69a152e5000000002602c955,春日薄荷曼波多巴胺美甲,猫眼,mid,Potential,30.949,potential,S0085
xhs-69a7d3fe00000000150208f2,黄皮友好甜酷风猫眼美甲,猫眼,mid,Stable,10.306,potential,S0174
xhs-68c7b87f000000001c011019,夏日花朵温柔感美甲,花朵,mid,Stable,69.63,potential,S0109
xhs-68b95c80000000001b037c74,海盐气泡冰透渐变蓝猫眼,猫眼,mid,ColdDown,92.373,potential,S0249
xhs-6895f7580000000023039150,冰透猫眼加碎钻清透高级,钻饰,mid,Cold_AfterTryon,85.02,potential,S0038
xhs-68bfc7a8000000001d01a48e,粉色KT少女心甜妹美甲,高级感,mid,Stable,46.167,potential,S0131
xhs-69cb7599000000001d01f980,春天系温柔美甲款式精选,精选,mid,Cold_AfterTryon,86.223,potential,S0263
xhs-6778f0d40000000013018463,玻璃珠猫眼手绘爱心蝴蝶结,猫眼,high,Cold_AfterWant,110.254,potential,S0220
xhs-68b02dd5000000001c03d849,清新仙气花朵渐变美甲细节,花朵,mid,HotUp,28.863,potential,S0103
xhs-66c2d5e2000000001d01a13f,黑暗陨石猫眼，显白又高级,猫眼,mid,HotUp,63.806,potential,S0101
xhs-688a0c9a0000000023034876,人鱼姬极光猫眼，夏日梦幻之选,猫眼,mid,Stable,71.326,potential,S0236
xhs-69e1ed3b0000000021011ea7,浮光锦猫眼，春日短甲新宠,猫眼,mid,Stable,53.48,potential,S0181
xhs-69441a71000000001b0219f4,浪漫雪花氛围甲，冬日高级感,温柔感,mid,Stable,105.373,potential,S0186
xhs-68cbd55f0000000013013eb6,冰透猫眼清冷甲，高级感满分,钻饰,mid,Potential,27.38,potential,S0229
xhs-68835b9c0000000020018599,小香风格纹猫眼，夏日温柔千金,温柔感,mid,Potential,23.742,potential,S0267
xhs-69955f12000000000a02ba73,淡雅顺顺美甲，清新简约高级,高级感,mid,Potential,34.175,potential,S0063
xhs-6969b3aa00000000220302c8,赤茶琉璃猫眼，裸色美甲天花板,猫眼,mid,Potential,7.775,potential,S0277
xhs-69f1a666000000003700d0f0,清透温柔醋酸月光渐变,猫眼,mid,Cold_AfterTryon,119.126,potential,S0293
xhs-6a0d78200000000038037344,视觉降温的蓝茶猫眼美甲,猫眼,high,Stable,65.608,potential,S0064
xhs-6a0aff7f00000000080036ab,夏日缤纷多彩猫眼美甲,猫眼,mid,Stable,67.043,potential,S0130
xhs-69a166ac000000001a01c692,春日薄荷奶绿波点蝴蝶结短甲,高级感,mid,Cold_Detail,48.555,potential,S0045
xhs-68a585fa000000001d028505,少女心爆棚的西瓜冰美甲,高级感,mid,Potential,48.358,potential,S0260
xhs-6932af6f000000001e00225c,温柔高级肉桂色云雾晕染,花朵,mid,Potential,20.635,potential,S0238
xhs-68c6b4f9000000001d01b4f0,五款温柔高级美甲推荐,温柔感,mid,Cold_AfterWant,63.302,potential,S0235
xhs-69ae6167000000001d02462b,春日仙气粉紫猫眼醋酸美甲,温柔感,mid,Potential,7.941,potential,S0140
xhs-69fc6423000000003601eb3a,夏日薄荷海，清透温柔,清透,mid,Stable,70.943,potential,S0075
xhs-691847bf0000000005003484,冰感蓝猫眼，清冷显白,猫眼,mid,Stable,159.912,potential,S0150
xhs-69df7e3d000000002102faf1,紫色猫眼钻饰，高级感,猫眼,high,ColdDown,68.613,potential,S0185
xhs-696b56700000000021030dab,韩味蝴蝶结，温柔粉嫩,蝴蝶结,mid,Stable,69.575,potential,S0214
xhs-69d5c796000000001f000c90,冰蓝猫眼，清爽干净,猫眼,mid,Stable,62.558,potential,S0228
xhs-69abc09b000000002602f912,奶fufu鹅黄渐变，春日清新,渐变,mid,Stable,72.048,potential,S0099
xhs-68b54b22000000001b020e0f,蓝眼泪指尖钻，闪耀夏日,钻饰,mid,ColdDown,41.62,potential,S0169
xhs-68a30d5d000000001d0363d7,粉色夏日渐变，短甲可爱,渐变,mid,HotUp,130.498,cold,S0104
xhs-670ddb70000000002401445d,冰透葡萄色显白仙气美甲,高级感,mid,Cold_Detail,259.003,cold,S0265
xhs-691fe81b000000001e03bcd6,财阀千金感法式猫眼美甲,猫眼,mid,HotUp,213.4,cold,S0115
xhs-69f2fd4400000000230157f1,温柔手绘小蛋糕云朵小熊短甲,温柔感,mid,Cold_AfterTryon,258.89,cold,S0102
xhs-69b952ba000000001a020922,粉嫩醋酸美甲教程款,精选,mid,Stable,212.339,cold,S0030
xhs-6a0c1eb000000000370346e7,酷辣个性风美甲设计,高级感,mid,Cold_AfterWant,108.622,cold,S0208
xhs-69cc70600000000023004397,短甲必备裸金法式温柔美甲,温柔感,mid,HotUp,97.579,cold,S0098
xhs-69f3577600000000380211f4,清爽白月光碎钻细闪法式,猫眼,mid,Cold_Detail,183.678,cold,S0019
xhs-69d607030000000022000a40,Ins风波点蓝莓韩系美甲,ins风,mid,Stable,191.369,cold,S0055
xhs-69845e6200000000210296e2,黄皮显白百搭天花板,温柔感,mid,Stable,118.383,cold,S0052
xhs-6a06b89f0000000035031aa1,超日系可爱春夏美甲,ins风,mid,HotUp,117.935,cold,S0294
xhs-69d0e4aa000000001f00336d,高级感菱格纹猫眼美甲,猫眼,high,Stable,140.661,cold,S0050
xhs-68dcecd6000000000301f88f,猫爪美甲精髓版,可爱风,mid,Cold_AfterTryon,251.672,cold,S0023
xhs-69f49fa0000000002003b43a,夏日清爽海盐冰气泡美甲,渐变,mid,HotUp,64.07,cold,S0062
xhs-6a046f12000000003502c7ce,高级感海莉风猫眼美甲,猫眼,mid,Cold_AfterTryon,154.769,cold,S0072
xhs-69999487000000000a0287a3,富家千金奶油海莉渐变美甲,高级感,mid,Stable,194.204,cold,S0054
xhs-68ce1d50000000000e020057,清冷感蓝色猫眼美甲,猫眼,mid,Cold_FirstLook,105.197,cold,S0258
xhs-6a1153eb00000000380361b0,夏日清新番石榴清茶美甲,手绘,mid,Stable,143.424,cold,S0222
xhs-69c0efdd0000000023023763,春夏短甲猫眼腮红美甲,猫眼,mid,Stable,102.053,cold,S0144
xhs-69e831070000000023016550,葡萄冰沙猫眼温柔美甲,猫眼,mid,Stable,153.537,cold,S0200
xhs-69dd4733000000001f006a44,夏日发光玻璃花猫眼美甲,猫眼,mid,Stable,238.794,cold,S0273
xhs-69cfdb950000000022003ffc,首次尝试裸色延长甲美甲,延长甲,mid,Cold_FirstLook,129.978,cold,S0187
xhs-6a16c58c000000003601d6d3,夏日显白孔雀蓝美甲,夏日,mid,Stable,112.162,cold,S0087
xhs-6a1544950000000008024d49,ins风奶fufu碎花短甲美甲,花朵,mid,HotUp,140.61,cold,S0191
xhs-69e36f83000000001d01bc05,粉白渐变裸色温柔美甲,渐变,mid,Stable,139.119,cold,S0298
xhs-69d92f330000000023005c1f,温柔仙气花朵猫眼美甲,猫眼,high,Stable,103.419,cold,S0137
xhs-68c300b7000000001b03305b,不忽悠顾客的实诚美甲,精选,mid,Stable,152.718,cold,S0276
xhs-69e5cea2000000002200d381,清冷甜妹冰蓝粉渐变美甲,渐变,mid,Stable,204.324,cold,S0184
xhs-69b97fde000000001d01e1ea,显白高级极光绿猫眼美甲,猫眼,mid,Stable,296.105,cold,S0133
xhs-69d5b0f60000000023011355,美拉德风裸棕渐变碎钻美甲,温柔感,mid,HotUp,78.758,cold,S0259
xhs-6a15ae960000000035026466,高级感紫葡萄猫眼美甲,猫眼,mid,HotUp,213.808,cold,S0210
xhs-6a173fc80000000036033bb2,高级感Ins风手绘花朵美甲,手绘,mid,Stable,119.712,cold,S0126
xhs-68996a7c0000000004004970,梦幻蓝色猫眼波点美甲,猫眼,mid,HotUp,134.379,hot,S0082
xhs-69cca8e1000000001f0063f1,我给美甲师的VS美甲师给我的,猫眼,mid,HotUp,44.952,potential,S0124
xhs-69bfbd32000000001b022953,深圳58元本甲建构猫眼美甲,猫眼,mid,Cold_AfterTryon,60.228,potential,S0155
xhs-666eb917000000001c0355e7,黑银猫眼新中式国风竹美甲,高级感,mid,Cold_AfterWant,85.733,potential,S0025
xhs-6a0a7b0e0000000036003e89,夏日薄荷巧克力波点美甲,夏日,mid,Stable,64.542,potential,S0195
xhs-6a1583a20000000006022d3f,赛里木湖灵感猫眼美甲,猫眼,mid,Stable,115.117,potential,S0073
xhs-68f07b2e000000000301bace,秋冬小短甲裸粉极光渐变,猫眼,mid,ColdDown,92.56,potential,S0203
